size,value_max_time,value_min_def_time,delta_max,delta_min_def,delta_min_rel
2,0.00012902331352233887,0.0003501050472259521,1.051432744715572e-06,2.3210948014631546e-07,1.0858039731198732
3,0.00017035984992980958,0.00045485568046569827,7.27789060909867e-07,2.0396271335004396e-07,2.3362409203566403
4,0.0001846890449523926,0.0004643685817718506,5.247388076679016e-07,5.73995872708447e-08,3.9190217009606436
5,0.00018963193893432618,0.00042412590980529785,3.652607989583778e-07,3.882383000079805e-08,5.274816336473812
6,0.00020928835868835448,0.00042176127433776853,2.960715410731396e-07,2.4095354149475307e-08,6.43298304440968
7,0.0001530911922454834,0.00043333649635314943,2.4041299681965e-07,1.0527449610413185e-08,7.121447403146247
8,0.0001566789150238037,0.00044875645637512207,1.9714474458254472e-07,9.228953868550113e-09,7.485457955207276
9,0.00012277603149414063,0.0004884629249572754,1.8350321288806981e-07,1.8454618597548706e-08,5.910896225499743
10,0.00011644911766052246,0.000571965217590332,1.5755532823291673e-07,9.642128657472761e-09,4.581702502387386
11,0.00012561368942260741,0.0004891023635864258,1.4210280268045495e-07,5.111565246509138e-09,2.9318305648148058
12,0.0001134493350982666,0.0005865216255187989,1.3383610102479793e-07,3.084335059169144e-09,2.3559483784837636
13,0.00013776183128356935,0.0007376310825347901,1.237341998958641e-07,3.6595035539244475e-09,1.994277081415978
14,0.0001509406566619873,0.0006524555683135987,1.0678395070584656e-07,2.77001251521203e-09,2.080012968098741
15,0.00010404777526855469,0.0005082881450653076,9.135662992321159e-08,1.9425550192864414e-09,2.0936102754383947
16,0.000104506254196167,0.0005571045875549317,8.99039993598194e-08,1.0923520645409483e-09,2.221675149873629
17,0.00011111545562744141,0.0005292477607727051,8.197412791588476e-08,3.6116445342696957e-09,2.3089523028779055
18,0.0001478424072265625,0.0008054707050323487,6.999641038873961e-08,1.4983973806336404e-09,2.47642667005967
19,0.0001948244571685791,0.0007857894897460938,5.811645809217225e-08,1.778369858182481e-09,2.674397171268009
20,0.0001929159164428711,0.0008034718036651612,4.8914033044411556e-08,1.4118659592921725e-09,2.7234199707854447
21,0.0001732776165008545,0.0008724048137664795,4.6523006048460046e-08,1.2244937235326948e-09,3.0039415953314044
22,0.00015821456909179688,0.0009041965007781982,3.697161221793976e-08,1.8457292808276967e-09,3.050910316696395
23,0.00015626692771911622,0.0007607395648956299,3.3299356132943105e-08,1.1224535585770036e-09,3.1544037924509145
24,0.00016041779518127442,0.0007611844539642334,3.008201753118556e-08,1.8845986266682995e-09,3.403103358402149
25,0.0001501917839050293,0.0008250584602355957,2.509271124040424e-08,1.3375401415633431e-09,3.3767003339417863
26,0.00015110373497009277,0.0009208524227142334,2.367809705106083e-08,3.886504341623016e-10,3.6707740390571977
27,0.00015388989448547364,0.001094421148300171,2.1007823534091584e-08,4.750142943017378e-10,3.8751550926128515
28,0.00011394834518432618,0.00116719651222229,1.7301242223766168e-08,6.440054310747145e-10,3.9970475502519256
29,0.00012990117073059083,0.0012548162937164307,1.5132830782249584e-08,3.1369300659095775e-10,4.14364003832616
30,0.0001141057014465332,0.0013784186840057372,1.4114045882251958e-08,3.142536348512624e-10,4.299914395610209
31,9.048414230346679e-05,0.0017966198921203613,1.1971422821943633e-08,4.264731693418034e-10,4.262098661008093
32,8.892130851745606e-05,0.0019334290027618408,1.110877457222159e-08,5.188409557300091e-10,4.508025172342751
33,0.0001581883430480957,0.0020349545478820803,9.13443886929599e-09,1.6565147518825905e-09,4.518231445282178
34,0.00014320683479309083,0.0013230624198913574,9.075475645659026e-09,3.183035346218074e-10,4.948822250405161
35,0.0001559913158416748,0.0015127637386322021,8.223080840252805e-09,7.079759302765876e-10,4.604108070623415
36,0.00011991405487060547,0.0015344200134277343,7.356762466770306e-09,5.010407427035658e-10,4.690059393795162
37,0.0001167905330657959,0.0017686331272125245,6.551545254751545e-09,2.853863783356008e-10,4.739654687155639
38,0.0001303548812866211,0.0020306951999664305,6.087556243983272e-09,3.938473979679963e-10,4.605383647761719
39,0.0001654684543609619,0.0021459853649139406,5.166580535842513e-09,3.006235444426376e-10,4.734805594132516
40,0.00018240571022033693,0.0022186751365661623,4.811010967387119e-09,4.5421358459889084e-10,4.667636840566561
41,0.00014122986793518066,0.0024505882263183595,4.2136128399761215e-09,2.865513801853144e-10,4.76949017183536
42,0.00015239858627319336,0.0024255621433258057,4.110089207642886e-09,2.2870112120032566e-10,4.964860528108162
43,0.00013081192970275878,0.002475367784500122,3.5788963828053964e-09,1.8957504456956673e-10,4.848156886506734
44,0.00012240982055664062,0.0027058966159820555,3.32587984530619e-09,1.185950385396975e-10,4.94043910894802
45,9.609603881835937e-05,0.0027068884372711184,2.9549067903644753e-09,2.1107164103784308e-10,4.853465150069076
46,0.0001235032081604004,0.002831478834152222,2.749604504970193e-09,2.4995065088228816e-10,4.892493467514116
47,0.00013357830047607423,0.0029232451915740965,2.576685801614076e-09,1.819744192504519e-10,4.829102830346136
48,0.00014447522163391112,0.003105233669281006,2.3723049480395275e-09,3.182496627896574e-10,4.843087441193976
49,0.00015930652618408202,0.0032963106632232664,2.177379883505637e-09,2.1803588489724103e-10,4.864567188641141
50,0.00012204480171203613,0.003289175271987915,2.03340698590182e-09,1.9072682994039615e-10,4.98066841957818
51,0.00011977171897888183,0.00357024884223938,1.867636001406936e-09,1.8245574392166032e-10,4.914730808627016
52,0.0001487867832183838,0.0035507311820983886,1.8082579344991245e-09,3.665377932466299e-10,4.9094603630397975
53,0.000143186092376709,0.0035801973342895507,1.6471960861963452e-09,1.8497607708238886e-10,4.818227618816465
54,0.00019205307960510254,0.0035951647758483887,1.4765570313102217e-09,1.803623934718033e-10,4.970998633290898
55,0.0001587793827056885,0.003654258966445923,1.4091566526985844e-09,2.2621886031589297e-10,4.952804998165022
56,0.00016088056564331056,0.0037225403785705567,1.2484920262068045e-09,2.0021427991087862e-10,4.794891167879171
57,0.00013141226768493652,0.003859414339065552,1.2708627536994755e-09,1.4843125604903002e-10,4.918546092263695
58,0.00016428613662719727,0.005562417030334473,1.1279928457952338e-09,1.409075101575349e-10,4.961713008102395
59,0.0002415478229522705,0.009935052156448364,1.0669572247934412e-09,9.179811099816852e-11,4.910329338859358
60,0.0002272186279296875,0.004591120958328247,9.847734645518357e-10,1.1245285343416469e-10,4.79089090864606
61,0.00021546053886413574,0.004674525022506714,9.744766202857135e-10,1.7444112555378343e-10,4.882878789720868
62,0.0002222573757171631,0.005041166782379151,8.917309060052502e-10,7.266052243734289e-11,4.819248162730987
63,0.00023140978813171386,0.004581464529037476,8.316869752889033e-10,1.4749446568592359e-10,4.959175043528252
64,0.0002182304859161377,0.005157866239547729,7.874604079916025e-10,1.782406673558552e-10,5.061587175934692
