,size,value_max_time,value_min_def_time,delta_max,delta_min
1,2,0.0010075569152832031,0.0005030632019042969,2.9116066924128603e-07,2.3563630213718767e-11
2,2,0.0003254413604736328,0.0,1.0629471280942937e-06,2.0909689690817856e-07
3,2,0.0,0.0,9.664896590866334e-05,7.33555084619919e-07
4,2,0.0,0.0010004043579101562,1.4224133338958111e-06,3.0155486802074805e-08
5,2,0.0,0.0,3.4941679771804957e-08,1.5876640280243492e-12
6,2,0.0,0.0010025501251220703,1.4301837722996424e-05,2.757054971325168e-06
7,2,0.0,0.0007581710815429688,9.064235217959293e-06,1.511319766611674e-06
8,2,0.0,0.0,7.1522468885198975e-06,1.0735851994070345e-06
9,2,0.0010082721710205078,0.0,4.5632358336433754e-08,1.928775028581242e-09
10,2,0.0,0.0006957054138183594,1.777532592894815e-06,1.8739474061391093e-07
11,2,0.0,0.0,6.16094526506572e-08,1.2697720513932254e-09
12,2,0.0010080337524414062,0.0008165836334228516,7.424657872745488e-05,3.9103126408646105e-05
13,2,0.0,0.0,1.0199793410992086e-06,1.8197315160284333e-07
14,2,0.0,0.0,2.1187184640059087e-06,2.601256364198612e-07
15,2,0.0,0.0,3.466189413270371e-07,1.6069822555975222e-08
16,2,0.0,0.0,2.643537010849073e-06,8.617913330177807e-08
17,2,0.0010013580322265625,0.0,1.2690155533068292e-06,3.7611321890285154e-08
18,2,0.0,0.0,8.75840821423779e-07,6.44480164790906e-08
19,2,0.0,0.0011518001556396484,2.7470084216218993e-06,1.10509016537641e-06
20,2,0.0,0.0010018348693847656,6.767657856121545e-06,1.1408006307944696e-06
21,2,0.0,0.0,2.4351119121135412e-08,4.513783444237696e-12
22,2,0.0,0.0,2.477826594127208e-06,1.279497123252149e-07
23,2,0.0,0.0,1.9544940910165565e-06,4.276128638958099e-07
24,2,0.0009996891021728516,0.0,1.400131706130736e-07,3.5909733520078646e-11
25,2,0.0,0.0,9.94773970686147e-06,4.380728432784586e-06
26,2,0.0,0.0010001659393310547,1.911933285025924e-07,4.0389390471018416e-08
27,2,0.0,0.0,1.6228275419027938e-06,3.386643454561522e-08
28,2,0.0,0.0,1.168091429082363e-06,1.7661139425917405e-09
29,2,0.0,0.0009999275207519531,1.3655106934074013e-08,1.053652304294772e-11
30,2,0.0,0.0,2.7936302261721835e-05,1.6542069327663e-06
31,2,0.0,0.0,4.804461162244422e-09,9.728901712025007e-13
32,2,0.0,0.0,9.370983893308704e-07,2.363883807032785e-07
33,2,0.0,0.0,1.5781265698677771e-06,4.359968547307247e-08
34,2,0.0,0.0,1.4585052853011149e-05,3.3950276603911256e-06
35,2,0.0,0.0,8.8392561548023e-08,3.871342135752798e-11
36,2,0.0,0.0,7.376985897700195e-07,1.603466656674435e-07
37,2,0.0,0.0,3.882727790394114e-07,2.2305282343371147e-08
38,2,0.0009965896606445312,0.0,3.771490031390101e-07,5.588663740119237e-09
39,2,0.0,0.0,1.3254718493893591e-06,1.0520465268393231e-07
40,2,0.0,0.0009996891021728516,1.2324472990266067e-05,1.5367492011697514e-06
41,2,0.0,0.0,1.6480636513271918e-06,3.795858113386785e-07
42,2,0.0009999275207519531,0.0,1.9305850107453892e-07,6.754186238078219e-10
43,2,0.0,0.0,7.987503496398318e-07,6.531273477605737e-08
44,2,0.0,0.0010013580322265625,4.0669152423511434e-07,5.417621323777766e-09
45,2,0.0,0.0,1.533937861175616e-07,4.761216074178343e-10
46,2,0.0,0.0,4.734907708137115e-07,1.0459696553333231e-08
47,2,0.00031638145446777344,0.0,2.976722364156359e-07,1.427897897143815e-09
48,2,0.0,0.0010018348693847656,1.7213219506706512e-06,2.90274852349226e-08
49,2,0.0009999275207519531,0.0,1.8422443586185722e-06,6.070551509251843e-07
50,2,0.0015909671783447266,0.0,8.223295815401599e-07,1.4547710397438962e-09
51,2,0.0,0.0,1.6758366030433791e-06,6.595867274583611e-08
52,2,0.0,0.0,3.779328046293884e-06,4.1835698533221333e-07
53,2,0.0,0.0009949207305908203,1.4929099084737274e-06,4.146302015617387e-08
54,2,0.0,0.0,1.0635676339632028e-08,1.3619085720284474e-10
55,2,0.0010006427764892578,0.0,9.40722095998936e-07,7.951368299896622e-09
56,2,0.0,0.0010013580322265625,2.3661809400721268e-08,4.3234551355686435e-11
57,2,0.0,0.0,1.0076959309213152e-06,2.599196788355407e-09
58,2,0.0,0.001127004623413086,1.855094835079285e-06,1.6375987682559767e-07
59,2,0.0,0.0,7.662548111131429e-06,1.777960476734286e-06
60,2,0.0,0.0,1.3758149518539042e-06,3.291551243234103e-07
61,2,0.0,0.0,5.497486748273772e-06,3.466292964326989e-07
62,2,0.0,0.0010478496551513672,2.276576595683366e-06,1.207678498316156e-07
63,2,0.0,0.0,2.112286863420465e-06,3.1410304918155774e-07
